date;ticker;stock;close;high;low;open;price_change;volume;volume_dollars
1999-12-07;'000003;Ｂ股指数;37.391;38.159;37.309;37.885999999999996;-0.495;107170;19352000.0
1999-12-06;'000003;Ｂ股指数;37.885999999999996;38.222;37.812;38.067;-0.181;104501;20761000.0
1999-12-03;'000003;Ｂ股指数;38.067;38.205;36.359;38.069;-0.002;83024;17057000.0
1999-12-02;'000003;Ｂ股指数;38.069;38.705999999999996;37.985;38.421;-0.352;77853;16848000.0
1999-12-01;'000003;Ｂ股指数;38.421;38.465;37.92;38.155;0.266;104258;22719000.0
1999-11-30;'000003;Ｂ股指数;38.155;38.327;37.727;37.85;0.305;124696;27735000.0
1999-11-29;'000003;Ｂ股指数;37.85;38.215;37.688;37.909;-0.059;109352;23521000.0
1999-11-26;'000003;Ｂ股指数;37.909;38.876999999999995;37.665;38.704;-0.795;137240;31142000.0
1999-11-25;'000003;Ｂ股指数;38.704;39.330999999999996;38.309;39.168;-0.464;179679;33291000.0
1999-11-24;'000003;Ｂ股指数;39.168;40.683;38.957;40.632;-1.464;180460;34554000.0
1999-11-23;'000003;Ｂ股指数;40.632;41.611999999999995;40.45;41.548;-0.916;146805;28394000.0
1999-11-22;'000003;Ｂ股指数;41.548;41.88399999999999;41.443999999999996;41.641000000000005;-0.093;88060;18357000.0
1999-11-19;'000003;Ｂ股指数;41.641000000000005;42.548;41.482;42.324;-0.683;155617;28338000.0
1999-11-18;'000003;Ｂ股指数;42.324;42.468;41.556000000000004;41.622;0.702;174288;35127000.0
1999-11-17;'000003;Ｂ股指数;41.622;41.86;40.908;41.123000000000005;0.499;160753;30178000.0
1999-11-16;'000003;Ｂ股指数;41.123000000000005;42.784;41.034;41.203;-0.08;379258;70890000.0
1999-11-15;'000003;Ｂ股指数;41.203;41.269;40.333;40.904;0.299;160857;29022000.0
1999-11-12;'000003;Ｂ股指数;40.904;41.36;40.719;41.218;-0.314;105501;20490000.0
1999-11-11;'000003;Ｂ股指数;41.218;41.672;41.13399999999999;41.293;-0.075;145886;26505000.0
1999-11-10;'000003;Ｂ股指数;41.293;41.293;40.746;40.746;0.547;127076;26522000.0
1999-11-09;'000003;Ｂ股指数;40.746;42.028999999999996;40.491;41.652;-0.906;141285;26823000.0
1999-11-08;'000003;Ｂ股指数;41.652;41.732;40.281;40.286;1.366;147327;25373000.0
1999-11-05;'000003;Ｂ股指数;40.286;40.395;39.605;39.668;0.618;83229;12555000.0
1999-11-04;'000003;Ｂ股指数;39.668;39.908;39.396;39.811;-0.143;51391;9690000.0
1999-11-03;'000003;Ｂ股指数;39.811;40.176;39.586999999999996;40.018;-0.207;29781;5190000.0
1999-11-02;'000003;Ｂ股指数;40.018;40.235;39.806;40.04;-0.022;35684;6232000.0
1999-11-01;'000003;Ｂ股指数;40.04;40.602;39.909;40.454;-0.414;47948;7943000.0
1999-10-29;'000003;Ｂ股指数;40.454;40.909;40.073;40.594;-0.14;92069;13760000.0
1999-10-28;'000003;Ｂ股指数;40.594;41.56399999999999;40.385;41.455;-0.861;84003;14567000.0
1999-10-27;'000003;Ｂ股指数;41.455;41.455;39.856;39.874;1.581;207073;36771000.0
